mangaid,plateifu,ewha_1re,classification,classification_in_1psf,classification_out_1psf,last_lier_re,sy_annulus_flag,baseline_radial_profile,log_sersic_mass,log_elpetro_mass,phi,nsa_sersic_absmag [FNugriz]
1-48157,10001-12701,27.557971069930066,SF,SF,SF,,False,"[{""r"": 0.27296488, ""class"": ""SF""}, {""r"": 0.54592976, ""class"": ""SF""}, {""r"": 0.8188946400000001, ""class"": ""SF""}, {""r"": 1.09185952, ""class"": ""SF""}, {""r"": 1.3648244, ""class"": ""SF""}, {""r"": 1.63778928, ""class"": ""SF""}, {""r"": 1.91075416, ""class"": ""SF""}, {""r"": 2.18371904, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.45668392, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.7296488, ""class"": ""Bad_SNR (Lineless)""}]",9.486856770836832,9.428999281013443,69.2463,[-16.2982 -16.7751 -17.7885 -18.7652 -19.198  -19.3399 -19.5112]
1-48188,10001-12702,10.624853989373296,SF,SF,SF,,False,"[{""r"": 0.22410734, ""class"": ""SF""}, {""r"": 0.44821468, ""class"": ""SF""}, {""r"": 0.67232202, ""class"": ""SF""}, {""r"": 0.89642936, ""class"": ""SF""}, {""r"": 1.1205367, ""class"": ""SF""}, {""r"": 1.34464404, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.56875138, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.79285872, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0169660599999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.2410733999999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.465180739999999, ""class"": ""Bad_SNR (Lineless)""}]",9.727675428416093,9.666748170493861,12.5169,[-15.9069 -16.1283 -17.2297 -18.6212 -19.2269 -19.4753 -19.6569]
1-55648,10001-12703,13.262028254228856,SF,SF,SF,,False,"[{""r"": 0.24912436, ""class"": ""SF""}, {""r"": 0.49824872, ""class"": ""SF""}, {""r"": 0.74737308, ""class"": ""SF""}, {""r"": 0.99649744, ""class"": ""SF""}, {""r"": 1.2456218, ""class"": ""SF""}, {""r"": 1.4947461599999998, ""class"": ""SF""}, {""r"": 1.7438705199999998, ""class"": ""SF""}, {""r"": 1.9929948799999997, ""class"": ""SF""}, {""r"": 2.2421192399999996, ""class"": ""SF""}, {""r"": 2.4912436, ""class"": ""Bad_SNR (Lineless)""}]",10.13651446613351,9.974958652419431,51.5052,[-15.9552 -16.3769 -17.9056 -19.319  -20.0264 -20.3184 -20.5965]
1-55616,10001-12704,16.662518686160713,SF,SF,SF,,False,"[{""r"": 0.2916641, ""class"": ""SF""}, {""r"": 0.5833282, ""class"": ""SF""}, {""r"": 0.8749923, ""class"": ""SF""}, {""r"": 1.1666564, ""class"": ""SF""}, {""r"": 1.4583205, ""class"": ""SF""}, {""r"": 1.7499846, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0416486999999996, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.3333128, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.6249769, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.9166410000000003, ""class"": ""Bad_SNR (Lineless)""}]",9.632117012183734,9.625145699270158,81.0961,[-14.2399 -14.8621 -16.5917 -17.9523 -18.7352 -19.1285 -19.4321]
1-55784,10001-12705,24.84847738565022,SF,SF,SF,,False,"[{""r"": 0.26926405, ""class"": ""SF""}, {""r"": 0.5385281, ""class"": ""SF""}, {""r"": 0.8077921499999999, ""class"": ""SF""}, {""r"": 1.0770562, ""class"": ""SF""}, {""r"": 1.3463202499999998, ""class"": ""SF""}, {""r"": 1.6155842999999996, ""class"": ""SF""}, {""r"": 1.8848483499999995, ""class"": ""SF""}, {""r"": 2.1541123999999994, ""class"": ""SF""}, {""r"": 2.4233764499999992, ""class"": ""SF""}, {""r"": 2.692640499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.961904549999999, ""class"": ""Bad_SNR (Lineless)""}]",10.113518872629513,9.984605164340124,132.903,[-17.0919 -17.6654 -18.6451 -19.7316 -20.2986 -20.6136 -20.792 ]
1-55567,10001-1901,12.762126513043482,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.25635094999999997, ""class"": ""SF""}, {""r"": 0.5127018999999999, ""class"": ""SF""}, {""r"": 0.7690528499999999, ""class"": ""SF""}, {""r"": 1.0254037999999999, ""class"": ""SF""}, {""r"": 1.2817547499999997, ""class"": ""SF""}, {""r"": 1.5381056999999996, ""class"": ""SF""}, {""r"": 1.7944566499999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0508075999999993, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.307158549999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.563509499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.819860449999999, ""class"": ""Bad_SNR (Lineless)""}]",9.127156651326711,9.13950127473591,92.5268,[-10.7937 -12.6363 -15.3117 -16.5938 -17.4238 -17.8344 -18.1493]
1-48201,10001-1902,0.2310405806383464,Lineless,Lineless,Lineless,,False,,10.16240906022107,10.05560383069523,153.782,[-12.62   -14.1352 -17.3663 -19.2871 -19.9076 -20.4572 -20.5712]
1-48111,10001-3701,0.1486092288620689,Lineless,Lineless,Lineless,,False,,9.836674701776284,9.712998848471644,177.501,[-10.2819 -13.4754 -16.7543 -18.4296 -19.1764 -19.5639 -19.838 ]
1-48136,10001-3702,22.98070470319635,SF,SF,SF,,False,"[{""r"": 0.14093395, ""class"": ""SF""}, {""r"": 0.2818679, ""class"": ""SF""}, {""r"": 0.42280185000000003, ""class"": ""SF""}, {""r"": 0.5637358, ""class"": ""SF""}, {""r"": 0.70466975, ""class"": ""SF""}, {""r"": 0.8456037, ""class"": ""SF""}, {""r"": 0.9865376499999999, ""class"": ""SF""}, {""r"": 1.1274716, ""class"": ""SF""}, {""r"": 1.26840555, ""class"": ""SF""}, {""r"": 1.4093395, ""class"": ""Bad_SNR (Lineless)""}]",9.836272199852367,9.85250134185775,138.512,[-16.4627 -16.9182 -17.9689 -18.9416 -19.6003 -19.7976 -19.8832]
1-55612,10001-3703,22.208809192982457,SF,SF,SF,,False,"[{""r"": 0.34975255, ""class"": ""SF""}, {""r"": 0.6995051, ""class"": ""SF""}, {""r"": 1.04925765, ""class"": ""SF""}, {""r"": 1.3990102, ""class"": ""SF""}, {""r"": 1.74876275, ""class"": ""SF""}, {""r"": 2.0985153, ""class"": ""SF""}, {""r"": 2.4482678499999997, ""class"": ""SF""}, {""r"": 2.7980203999999995, ""class"": ""SF""}, {""r"": 3.1477729499999993, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.497525499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.847278049999999, ""class"": ""Bad_SNR (Lineless)""}]",9.573641965438451,9.49261513442948,169.053,[-15.2821 -15.8487 -16.8117 -18.0929 -18.7768 -19.1144 -19.4142]
