plateifu,ew_1re,sn3_lier05_class,sn3_lier05_central,sn3_lier05_outer,sn3_lier05_has_sy_annulus,sn3_lier05_last_lier_re,sn2_lier05_class,sn2_lier05_central,sn2_lier05_outer,sn2_lier05_has_sy_annulus,sn2_lier05_last_lier_re,sn3_lier04_class,sn3_lier04_central,sn3_lier04_outer,sn3_lier04_has_sy_annulus,sn3_lier04_last_lier_re,sn3_lier06_class,sn3_lier06_central,sn3_lier06_outer,sn3_lier06_has_sy_annulus,sn3_lier06_last_lier_re,baseline_radial_profile,bpt_figure_path
12049-1901,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,,
10217-12703,58.33642689999999,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 1.5891693999999998, ""class"": ""SF""}, {""r"": 3.1783387999999997, ""class"": ""SF""}, {""r"": 4.7675082, ""class"": ""SF""}, {""r"": 6.356677599999999, ""class"": ""SF""}, {""r"": 7.945846999999999, ""class"": ""SF""}, {""r"": 9.535016399999998, ""class"": ""SF""}, {""r"": 11.124185799999998, ""class"": ""SF""}, {""r"": 12.713355199999997, ""class"": ""SF""}, {""r"": 14.302524599999996, ""class"": ""SF""}, {""r"": 15.891693999999996, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 17.480863399999997, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/10217/10217-12703.png
11748-6103,0.5260544798588589,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/11748/11748-6103.png
9867-3702,119.73086851388891,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,SF,False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.19481043, ""class"": ""SF""}, {""r"": 0.38962086, ""class"": ""SF""}, {""r"": 0.58443129, ""class"": ""SF""}, {""r"": 0.77924172, ""class"": ""SF""}, {""r"": 0.97405215, ""class"": ""SF""}, {""r"": 1.16886258, ""class"": ""SF""}, {""r"": 1.36367301, ""class"": ""SF""}, {""r"": 1.55848344, ""class"": ""SF""}, {""r"": 1.75329387, ""class"": ""SF""}, {""r"": 1.9481043, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9867/9867-3702.png
7992-3702,45.04261811214954,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.28769999, ""class"": ""SF""}, {""r"": 0.57539998, ""class"": ""SF""}, {""r"": 0.86309997, ""class"": ""SF""}, {""r"": 1.15079996, ""class"": ""SF""}, {""r"": 1.4384999500000002, ""class"": ""SF""}, {""r"": 1.7261999400000003, ""class"": ""SF""}, {""r"": 2.0138999300000004, ""class"": ""SF""}, {""r"": 2.3015999200000006, ""class"": ""SF""}, {""r"": 2.5892999100000007, ""class"": ""SF""}, {""r"": 2.876999900000001, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/7992/7992-3702.png
8155-3704,0.9712563111111111,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8155/8155-3704.png
8144-3702,14.483280691011236,SF,SF,Bad_SNR (Lineless),False,nan,outLIER,SF,SF,False,1.8450906400000002,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.19469534, ""class"": ""SF""}, {""r"": 0.38939068, ""class"": ""SF""}, {""r"": 0.58408602, ""class"": ""SF""}, {""r"": 0.77878136, ""class"": ""SF""}, {""r"": 0.9734767, ""class"": ""SF""}, {""r"": 1.16817204, ""class"": ""SF""}, {""r"": 1.36286738, ""class"": ""SF""}, {""r"": 1.55756272, ""class"": ""SF""}, {""r"": 1.75225806, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.9469534, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8144/8144-3702.png
8982-6104,9.614221765917604,outLIER,SF,Bad_SNR (Lineless),False,1.1699255199999998,outLIER,SF,LIER,False,1.19099456,outLIER,SF,Bad_SNR (Lineless),False,1.1699255199999998,outLIER,SF,Bad_SNR (Lineless),False,1.1699255199999998,"[{""r"": 0.14624069, ""class"": ""SF""}, {""r"": 0.29248138, ""class"": ""SF""}, {""r"": 0.43872207, ""class"": ""SF""}, {""r"": 0.58496276, ""class"": ""SF""}, {""r"": 0.73120345, ""class"": ""SF""}, {""r"": 0.8774441399999999, ""class"": ""SF""}, {""r"": 1.0236848299999999, ""class"": ""LIER""}, {""r"": 1.1699255199999998, ""class"": ""LIER""}, {""r"": 1.3161662099999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.4624068999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.6086475899999997, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8982/8982-6104.png
10499-1902,8.642207893830333,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.08180372999999999, ""class"": ""SF""}, {""r"": 0.16360745999999998, ""class"": ""SF""}, {""r"": 0.24541118999999997, ""class"": ""SF""}, {""r"": 0.32721491999999996, ""class"": ""SF""}, {""r"": 0.40901864999999993, ""class"": ""SF""}, {""r"": 0.4908223799999999, ""class"": ""SF""}, {""r"": 0.5726261099999999, ""class"": ""SF""}, {""r"": 0.6544298399999998, ""class"": ""SF""}, {""r"": 0.7362335699999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8180372999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8998410299999997, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/10499/10499-1902.png
10511-12704,18.392862239700374,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.29156002999999997, ""class"": ""SF""}, {""r"": 0.5831200599999999, ""class"": ""SF""}, {""r"": 0.8746800899999999, ""class"": ""SF""}, {""r"": 1.1662401199999999, ""class"": ""SF""}, {""r"": 1.4578001499999997, ""class"": ""SF""}, {""r"": 1.7493601799999996, ""class"": ""SF""}, {""r"": 2.0409202099999995, ""class"": ""SF""}, {""r"": 2.3324802399999993, ""class"": ""SF""}, {""r"": 2.624040269999999, ""class"": ""SF""}, {""r"": 2.915600299999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.207160329999999, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/10511/10511-12704.png
12036-6103,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,,
8158-3702,27.69383539337349,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.014778516, ""class"": ""SF""}, {""r"": 0.029557032, ""class"": ""SF""}, {""r"": 0.044335548, ""class"": ""SF""}, {""r"": 0.059114064, ""class"": ""SF""}, {""r"": 0.07389258, ""class"": ""SF""}, {""r"": 0.088671096, ""class"": ""SF""}, {""r"": 0.10344961200000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.11822812800000002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.133006644, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.14778516, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8158/8158-3702.png
8602-6103,7.272865326164079,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,SF,False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.09919764, ""class"": ""SF""}, {""r"": 0.19839528, ""class"": ""SF""}, {""r"": 0.29759292000000004, ""class"": ""SF""}, {""r"": 0.39679056, ""class"": ""SF""}, {""r"": 0.4959882, ""class"": ""SF""}, {""r"": 0.59518584, ""class"": ""SF""}, {""r"": 0.6943834799999999, ""class"": ""SF""}, {""r"": 0.7935811199999999, ""class"": ""SF""}, {""r"": 0.8927787599999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.9919763999999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.0911740399999998, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8602/8602-6103.png
8241-12703,6.175346886479592,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.24035356000000002, ""class"": ""SF""}, {""r"": 0.48070712000000004, ""class"": ""SF""}, {""r"": 0.7210606800000001, ""class"": ""SF""}, {""r"": 0.9614142400000001, ""class"": ""SF""}, {""r"": 1.2017678, ""class"": ""SF""}, {""r"": 1.44212136, ""class"": ""SF""}, {""r"": 1.68247492, ""class"": ""SF""}, {""r"": 1.92282848, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.16318204, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.4035356, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8241/8241-12703.png
8091-12701,8.5856569042394,Sy,Sy,Bad_SNR (Lineless),True,nan,Sy,Sy,SF,True,nan,Sy,Sy,Bad_SNR (Lineless),True,nan,Sy,Sy,Bad_SNR (Lineless),True,nan,"[{""r"": 0.24443717, ""class"": ""Sy""}, {""r"": 0.48887434, ""class"": ""Sy""}, {""r"": 0.73331151, ""class"": ""Sy""}, {""r"": 0.97774868, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.22218585, ""class"": ""SF""}, {""r"": 1.46662302, ""class"": ""SF""}, {""r"": 1.7110601900000002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.9554973600000003, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.19993453, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.4443717, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8091/8091-12701.png
9511-6102,0.9028603412280701,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9511/9511-6102.png
11755-12703,23.585689375868373,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.22108529, ""class"": ""SF""}, {""r"": 0.44217058, ""class"": ""SF""}, {""r"": 0.66325587, ""class"": ""SF""}, {""r"": 0.88434116, ""class"": ""SF""}, {""r"": 1.10542645, ""class"": ""SF""}, {""r"": 1.32651174, ""class"": ""SF""}, {""r"": 1.54759703, ""class"": ""SF""}, {""r"": 1.76868232, ""class"": ""SF""}, {""r"": 1.98976761, ""class"": ""SF""}, {""r"": 2.2108529, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/11755/11755-12703.png
8440-9101,1.102450155680695,eLIER,LIER,Bad_SNR (Lineless),False,0.43615812,eLIER,LIER,Bad_SNR (Lineless),False,0.569837736,eLIER,LIER,Bad_SNR (Lineless),False,0.43615812,eLIER,LIER,Bad_SNR (Lineless),False,0.43615812,"[{""r"": 0.087231624, ""class"": ""LIER""}, {""r"": 0.174463248, ""class"": ""LIER""}, {""r"": 0.26169487199999997, ""class"": ""LIER""}, {""r"": 0.348926496, ""class"": ""LIER""}, {""r"": 0.43615812, ""class"": ""LIER""}, {""r"": 0.5233897439999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.6106213679999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.6978529919999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.7850846159999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8723162399999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.9595478639999997, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8440/8440-9101.png
8323-1901,0.7744640167164181,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8323/8323-1901.png
