plateifu,ew_1re,sn3_lier05_class,sn3_lier05_central,sn3_lier05_outer,sn3_lier05_has_sy_annulus,sn3_lier05_last_lier_re,sn2_lier05_class,sn2_lier05_central,sn2_lier05_outer,sn2_lier05_has_sy_annulus,sn2_lier05_last_lier_re,sn3_lier04_class,sn3_lier04_central,sn3_lier04_outer,sn3_lier04_has_sy_annulus,sn3_lier04_last_lier_re,sn3_lier06_class,sn3_lier06_central,sn3_lier06_outer,sn3_lier06_has_sy_annulus,sn3_lier06_last_lier_re,baseline_radial_profile,bpt_figure_path
10001-12701,27.557971069930066,SF,SF,SF,False,nan,outLIER,SF,SF,False,2.0817712999999998,outLIER,SF,SF,False,1.91075416,SF,SF,SF,False,nan,"[{""r"": 0.27296488, ""class"": ""SF""}, {""r"": 0.54592976, ""class"": ""SF""}, {""r"": 0.8188946400000001, ""class"": ""SF""}, {""r"": 1.09185952, ""class"": ""SF""}, {""r"": 1.3648244, ""class"": ""SF""}, {""r"": 1.63778928, ""class"": ""SF""}, {""r"": 1.91075416, ""class"": ""SF""}, {""r"": 2.18371904, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.45668392, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.7296488, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-12701.png
10001-12702,10.624853989373296,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.22410734, ""class"": ""SF""}, {""r"": 0.44821468, ""class"": ""SF""}, {""r"": 0.67232202, ""class"": ""SF""}, {""r"": 0.89642936, ""class"": ""SF""}, {""r"": 1.1205367, ""class"": ""SF""}, {""r"": 1.34464404, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.56875138, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.79285872, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0169660599999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.2410733999999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.465180739999999, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-12702.png
10001-12703,13.262028254228856,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.24912436, ""class"": ""SF""}, {""r"": 0.49824872, ""class"": ""SF""}, {""r"": 0.74737308, ""class"": ""SF""}, {""r"": 0.99649744, ""class"": ""SF""}, {""r"": 1.2456218, ""class"": ""SF""}, {""r"": 1.4947461599999998, ""class"": ""SF""}, {""r"": 1.7438705199999998, ""class"": ""SF""}, {""r"": 1.9929948799999997, ""class"": ""SF""}, {""r"": 2.2421192399999996, ""class"": ""SF""}, {""r"": 2.4912436, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-12703.png
10001-12704,16.662518686160713,SF,SF,SF,False,nan,outLIER,SF,SF,False,1.7283445,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.2916641, ""class"": ""SF""}, {""r"": 0.5833282, ""class"": ""SF""}, {""r"": 0.8749923, ""class"": ""SF""}, {""r"": 1.1666564, ""class"": ""SF""}, {""r"": 1.4583205, ""class"": ""SF""}, {""r"": 1.7499846, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0416486999999996, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.3333128, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.6249769, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.9166410000000003, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-12704.png
10001-12705,24.84847738565022,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.26926405, ""class"": ""SF""}, {""r"": 0.5385281, ""class"": ""SF""}, {""r"": 0.8077921499999999, ""class"": ""SF""}, {""r"": 1.0770562, ""class"": ""SF""}, {""r"": 1.3463202499999998, ""class"": ""SF""}, {""r"": 1.6155842999999996, ""class"": ""SF""}, {""r"": 1.8848483499999995, ""class"": ""SF""}, {""r"": 2.1541123999999994, ""class"": ""SF""}, {""r"": 2.4233764499999992, ""class"": ""SF""}, {""r"": 2.692640499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.961904549999999, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-12705.png
10001-1901,12.762126513043482,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.25635094999999997, ""class"": ""SF""}, {""r"": 0.5127018999999999, ""class"": ""SF""}, {""r"": 0.7690528499999999, ""class"": ""SF""}, {""r"": 1.0254037999999999, ""class"": ""SF""}, {""r"": 1.2817547499999997, ""class"": ""SF""}, {""r"": 1.5381056999999996, ""class"": ""SF""}, {""r"": 1.7944566499999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0508075999999993, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.307158549999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.563509499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.819860449999999, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-1901.png
10001-1902,0.23104058063834643,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-1902.png
10001-3701,0.14860922886206898,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-3701.png
10001-3702,22.98070470319635,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.14093395, ""class"": ""SF""}, {""r"": 0.2818679, ""class"": ""SF""}, {""r"": 0.42280185000000003, ""class"": ""SF""}, {""r"": 0.5637358, ""class"": ""SF""}, {""r"": 0.70466975, ""class"": ""SF""}, {""r"": 0.8456037, ""class"": ""SF""}, {""r"": 0.9865376499999999, ""class"": ""SF""}, {""r"": 1.1274716, ""class"": ""SF""}, {""r"": 1.26840555, ""class"": ""SF""}, {""r"": 1.4093395, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-3702.png
10001-3703,22.208809192982457,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.34975255, ""class"": ""SF""}, {""r"": 0.6995051, ""class"": ""SF""}, {""r"": 1.04925765, ""class"": ""SF""}, {""r"": 1.3990102, ""class"": ""SF""}, {""r"": 1.74876275, ""class"": ""SF""}, {""r"": 2.0985153, ""class"": ""SF""}, {""r"": 2.4482678499999997, ""class"": ""SF""}, {""r"": 2.7980203999999995, ""class"": ""SF""}, {""r"": 3.1477729499999993, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.497525499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.847278049999999, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/10001/10001-3703.png
